ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Name,Conflict Stock Displacement,Conflict Stock Displacement (Raw),Conflict Internal Displacements,Conflict Internal Displacements (Raw)
TLS,Timor-Leste,2013,Babulu gale,2013-01-17,5.0,5.0,Weather related,Storm,Conflict-Violence,,,,,
TZA,Tanzania,2014,Arusha flood,2014-03-15,1000.0,1000.0,Weather related,Flood,Conflict-Violence,,,,,
COL,Colombia,2015,Gameza flood,2015-06-25,4.0,4.0,Weather related,Flood,Conflict-Violence,,,,,
CUB,Cuba,2015,Baracoa flood,2015-05-02,2000.0,2000.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Flood - 01/07/2008,2008-07-01,2200.0,2250.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Flood - 30/08/2008,2008-08-30,57000.0,57440.0,Weather related,Flood,Conflict-Violence,,,,,
GTM,Guatemala,2008,Guatemala: Flood - 22/10/2008,2008-10-22,11000.0,10764.0,Weather related,Flood,Conflict-Violence,,,,,
HND,Honduras,2008,Honduras: Flood - 12/12/2008,2008-12-12,250.0,250.0,Weather related,Flood,Conflict-Violence,,,,,
HND,Honduras,2008,Honduras: Flood - 19/10/2008,2008-10-19,70000.0,70000.0,Weather related,Flood,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 09/02/2008,2008-02-09,20.0,20.0,Weather related,Storm,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 26/08/2008,2008-08-26,10000.0,10500.0,Weather related,Storm,Conflict-Violence,,,,,
HTI,Haiti,2008,Haiti: Storm - 18/08/2008,2008-08-18,17000.0,16850.0,Weather related,Storm,Conflict-Violence,,,,,
AFG,Afghanistan,2008,Afghanistan: Flood - 01/08/2008,2008-08-01,180.0,180.0,Weather related,Flood,Conflict-Violence,,,,,
AFG,Afghanistan,2008,Afghanistan: Earthquake - 17/04/2008,2008-04-17,3200.0,3250.0,Geophysical,Earthquake,Conflict-Violence,,,,,
ARG,Argentina,2008,Argentina: Flood - 28/01/2008,2008-01-28,640.0,635.0,Weather related,Flood,Conflict-Violence,,,,,
ATG,Antigua and Barbuda,2008,Antigua and Barbuda: Storm - 15/10/2008,2008-10-15,45.0,45.0,Weather related,Storm,Conflict-Violence,,,,,
AUS,Australia,2008,Australia: Storm - 16/11/2008,2008-11-16,1000.0,1000.0,Weather related,Storm,Conflict-Violence,,,,,
BDI,Burundi,2008,Burundi: Flood - 20/09/2008,2008-09-20,2800.0,2770.0,Weather related,Flood,Conflict-Violence,,,,,
BEN,Benin,2008,Benin: Flood - 01/07/2008,2008-07-01,150000.0,150000.0,Weather related,Flood,Conflict-Violence,,,,,
BFA,Burkina Faso,2008,Burkina Faso: Flood - 01/08/2008,2008-08-01,28000.0,28000.0,Weather related,Flood,Conflict-Violence,,,,,
BGD,Bangladesh,2008,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2008-08-16,1700.0,1657.0,Weather related,Mass Movement,Conflict-Violence,,,,,
BHS,"Bahamas, The",2008,Bahamas: Storm - 09/07/2008,2008-07-09,500.0,500.0,Weather related,Storm,Conflict-Violence,,,,,
BLZ,Belize,2008,Belize: Flood - 19/10/2008,2008-10-19,400.0,400.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 02/02/2008,2008-02-02,1400.0,1435.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 01/12/2008,2008-12-01,14000.0,14293.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Storm - 05/06/2008,2008-06-05,25000.0,25000.0,Weather related,Storm,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 22/11/2008,2008-11-22,79000.0,78707.0,Weather related,Flood,Conflict-Violence,,,,,
BRA,Brazil,2008,Brazil: Flood - 30/03/2008,2008-03-30,190000.0,190000.0,Weather related,Flood,Conflict-Violence,,,,,
CAF,Central African Republic,2008,Central African Republic: Flood - 01/07/2008,2008-07-01,14000.0,14000.0,Weather related,Flood,Conflict-Violence,,,,,
CAN,Canada,2008,Canada: Flood - 04/10/2008,2008-10-04,200.0,200.0,Weather related,Flood,Conflict-Violence,,,,,
CAN,Canada,2008,Canada: Flood - 26/04/2008,2008-04-26,1800.0,1830.0,Weather related,Flood,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Volcanic activity - 05/02/2008,2008-02-05,8000.0,8000.0,Geophysical,Volcanic activity,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Flood - 19/05/2008,2008-05-19,12000.0,12000.0,Weather related,Flood,Conflict-Violence,,,,,
CHL,Chile,2008,Chile: Flood - 29/08/2008,2008-08-29,23000.0,23000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 22/08/2008,2008-08-22,390.0,394.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 08/08/2008,2008-08-08,500.0,500.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 10/06/2008,2008-06-10,860.0,855.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 05/02/2008,2008-02-05,1900.0,1900.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 27/05/2008,2008-05-27,4600.0,4600.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Storm - 24/06/2008,2008-06-24,6000.0,6000.0,Weather related,Storm,Conflict-Violence,,,,,
CHN,China,2008,China: Earthquake - 08/05/2008,2008-05-08,16000.0,16000.0,Geophysical,Earthquake,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 31/10/2008,2008-10-31,25000.0,25000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 07/07/2008,2008-07-07,31000.0,31000.0,Weather related,Flood,Conflict-Violence,,,,,
CHN,China,2008,China: Flood - 08/07/2008,2008-07-08,42000.0,42100.0,Weather related,Flood,Conflict-Violence,,,,,
